"","sample_event","site","subsample","index","time","length_mm","behavior","distance_cm_per_sec","DistPerTime_Mean","DistPerTime_Median","NND_cm","volume","drift_forage","search_forage","benthic_forage","movement","surface_strike","attack"
"1036","after","18.6",3,18,147,69.4976370626191,"Nip",110.681019323141,34.7583367183858,10.2000642177992,24.58445,140936.933029166,0,0,0,0,0,1
"1037","after","18.6",3,19,120,71.480867153495,"Drift_Forage",NA,NA,NA,4.64531,514.857902386839,1,0,0,0,0,0
"1038","after","18.6",3,19,120,71.480867153495,"Drift_Forage",NA,NA,NA,4.64531,514.857902386839,1,0,0,0,0,0
"1039","after","18.6",3,19,120,71.480867153495,"Drift_Forage",NA,NA,NA,4.64531,514.857902386839,1,0,0,0,0,0
"1040","after","18.6",3,19,123,71.480867153495,"Drift_Forage",4.16173191952248,4.01773260761445,4.31694941132892,5.04696,514.857902386839,1,0,0,0,0,0
"1041","after","18.6",3,19,123,71.480867153495,"Drift_Forage",4.16173191952248,4.01773260761445,4.31694941132892,5.04696,514.857902386839,1,0,0,0,0,0
"1042","after","18.6",3,19,123,71.480867153495,"Drift_Forage",4.16173191952248,4.01773260761445,4.31694941132892,5.04696,514.857902386839,1,0,0,0,0,0
"1043","after","18.6",3,19,126,71.480867153495,"Drift_Forage",8.83143955332288,4.01773260761445,4.31694941132892,10.54668,514.857902386839,1,0,0,0,0,0
"1044","after","18.6",3,19,129,71.480867153495,"Drift_Forage",4.31694941132892,4.01773260761445,4.31694941132892,6.41299,514.857902386839,1,0,0,0,0,0
"1045","after","18.6",3,19,132,71.480867153495,"Drift_Forage",1.65833754381194,4.01773260761445,4.31694941132892,12.91236,514.857902386839,1,0,0,0,0,0
"1046","after","18.6",3,19,138,71.480867153495,"Drift_Forage",5.96860646547618,4.01773260761445,4.31694941132892,11.59946,514.857902386839,1,0,0,0,0,0
"1047","after","18.6",3,19,141,71.480867153495,"Drift_Forage",4.51299773660708,4.01773260761445,4.31694941132892,28.77637,514.857902386839,1,0,0,0,0,0
"1048","after","18.6",3,19,144,71.480867153495,"Drift_Forage",4.5691771073389,4.01773260761445,4.31694941132892,39.73727,514.857902386839,1,0,0,0,0,0
"1049","after","18.6",3,19,147,71.480867153495,"Drift_Forage",0.245628942993062,4.01773260761445,4.31694941132892,24.58445,514.857902386839,1,0,0,0,0,0
"1050","after","18.6",3,19,150,71.480867153495,"Drift_Forage",1.89472478812861,4.01773260761445,4.31694941132892,25.56748,514.857902386839,1,0,0,0,0,0
"1051","after","18.4",3,19,588.00293,45.6147364461626,"Drift_Forage",NA,NA,NA,16.9333,186.57212330828,1,0,0,0,0,0
"1052","after","18.4",3,19,591.00293,45.6147364461626,"Drift_Forage",4.39722457931256,5.33917575586354,5.28406658128368,18.88574,186.57212330828,1,0,0,0,0,0
"1053","after","18.4",3,19,594.00293,45.6147364461626,"Drift_Forage",6.39134528157423,5.33917575586354,5.28406658128368,24.3717,186.57212330828,1,0,0,0,0,0
"1054","after","18.4",3,19,597.00293,45.6147364461626,"Drift_Forage",5.88897804446241,5.33917575586354,5.28406658128368,9.41316,186.57212330828,1,0,0,0,0,0
"1055","after","18.4",3,19,600.00293,45.6147364461626,"Drift_Forage",4.67915511810494,5.33917575586354,5.28406658128368,19.93822,186.57212330828,1,0,0,0,0,0
"1056","after","18.6",3,20,120,NA,"Drift_Forage",NA,NA,NA,4.64531,5.54573637799704,1,0,0,0,0,0
"1057","after","18.6",3,20,123,NA,"Drift_Forage",0.452913596438535,0.909141550468637,0.71760459276019,5.04696,5.54573637799704,1,0,0,0,0,0
"1058","after","18.6",3,20,126,NA,"Drift_Forage",0.432007811630248,0.909141550468637,0.71760459276019,10.54668,5.54573637799704,1,0,0,0,0,0
"1059","after","18.6",3,20,129,NA,"Drift_Forage",0.250241111783549,0.909141550468637,0.71760459276019,6.41299,5.54573637799704,1,0,0,0,0,0
"1060","after","18.6",3,20,132,NA,"Drift_Forage",0.686631301944828,0.909141550468637,0.71760459276019,12.91236,5.54573637799704,1,0,0,0,0,0
"1061","after","18.6",3,20,135,NA,"Drift_Forage",0.762290434499429,0.909141550468637,0.71760459276019,10.9646,5.54573637799704,1,0,0,0,0,0
"1062","after","18.6",3,20,138,NA,"Drift_Forage",1.44989185951064,0.909141550468637,0.71760459276019,11.59946,5.54573637799704,1,0,0,0,0,0
"1063","after","18.6",3,20,141,NA,"Drift_Forage",0.446064511784388,0.909141550468637,0.71760459276019,28.77637,5.54573637799704,1,0,0,0,0,0
"1064","after","18.6",3,20,144,NA,"Drift_Forage",1.96279368791328,0.909141550468637,0.71760459276019,39.73727,5.54573637799704,1,0,0,0,0,0
"1065","after","18.6",3,20,147,NA,"Drift_Forage",0.748577883575551,0.909141550468637,0.71760459276019,24.58445,5.54573637799704,1,0,0,0,0,0
"1066","after","18.6",3,20,150,NA,"Drift_Forage",1.90000330560593,0.909141550468637,0.71760459276019,25.56748,5.54573637799704,1,0,0,0,0,0
"1067","after","18.5",3,20,390,54.6930492316976,"Drift_Forage",NA,NA,NA,0.05964,423.979006077726,1,0,0,0,0,0
"1068","after","18.5",3,20,393,54.6930492316976,"Drift_Forage",1.01222386908639,4.52834512753133,2.75840029599462,32.43882,423.979006077726,1,0,0,0,0,0
"1069","after","18.5",3,20,396,54.6930492316976,"Drift_Forage",3.13143489460765,4.52834512753133,2.75840029599462,25.24621,423.979006077726,1,0,0,0,0,0
"1070","after","18.5",3,20,399,54.6930492316976,"Drift_Forage",0.598674717031528,4.52834512753133,2.75840029599462,33.5119,423.979006077726,1,0,0,0,0,0
